,해양사고발생_년도,해양사고발생_월,해양사고발생_일,사고유형_통계,CHECK_DATE,CHECK_LOC,CHECK_TWO,CHECK_TWO11,CHECK_TWO12,CHECK_TWO21,CHECK_TWO22,CHECK_TWO23,CHECK_TWO24,CHECK_TWO31,CHECK_TWO41,CHECK_TWO51,CHECK_TWO52,CHECK_TWO53,CHECK_TWO54,CHECK_TWO55,CHECK_TWO56,CHECK_TWO61,CHECK_TWO62,CHECK_TWO63,CHECK_TWO64,CHECK_TWO65,CHECK_TWO71,CHECK_TWO72,CHECK_TWO73,CHECK_TWO81,CHECK_TWO82,CHECK_TWO83,CHECK_TWO84,CHECK_TWO91,CHECK_TWO92,CHECK_TWO93,CHECK_TWO94,CHECK_TWO101,CHECK_TWO102,CHECK_TWO111,CHECK_TWO112,CHECK_TWO113,CHECK_TWO73_FISH,CHECK_TWO74_FISH,CHECK_TWO74,CHECK_TWO221,CHECK_TWO222,CHECK_TWO223,CHECK_TWO25,CHECK_TWO26,CHECK_TWO42,CHECK_TWO43,CHECK_541_KIND1,CHECK_541_QTY1,CHECK_541_DATE1,CHECK_541_KIND2,CHECK_541_QTY2,CHECK_541_DATE2,CHECK_542_KIND1,CHECK_542_QTY1,CHECK_542_DATE1,CHECK_542_KIND2,CHECK_542_QTY2,CHECK_542_DATE2,CHECK_551_QTY1,CHECK_551_KIND2,CHECK_551_QTY2,CHECK_551_KIND3,CHECK_551_QTY3,CHECK_551_KIND4,CHECK_551_QTY4,CHECK_561_QTY1,CHECK_561_TO1,CHECK_561_QTY2,CHECK_561_TO2,CHECK_561_QTY3,CHECK_561_TO3,CHECK_561_QTY4,CHECK_561_TO4,CHECK_561_KIND4,CHECK_631_CHECK1,CHECK_631_CHECK2,CHECK_631_CHECK3,CHECK_TWO66,CHECK_TWO67,CHECK_671_QTY1,CHECK_671_QTY2,CHECK_671_QTY3,CHECK_671_QTY4,CHECK_671_QTY5,CHECK_671_QTY6,CHECK_671_QTY7,CHECK_671_QTY8,CHECK_671_QTY9,CHECK_671_QTY10,CHECK_671_QTY11,CHECK_671_QTY12,CHECK_671_QTY13,CHECK_671_QTY14,CHECK_671_QTY15,CHECK_671_QTY16,CHECK_TWO68,CHECK_TWO69,CHECK_TWO711,CHECK_TWO712,CHECK_TWO713,CHECK_TWO714,CHECK_TWO715,CHECK_TWO716,CHECK_TWO7171,CHECK_TWO7172,CHECK_TWO7173,CHECK_TWO7174,CHECK_TWO7175,CHECK_TWO7176,CHECK_TWO718,CHECK_7181_CHECK1,CHECK_7181_CHECK2,CHECK_7181_CHECK3,CHECK_7181_CHECK4,CHECK_TWO719,CHECK_TWO7110,CHECK_TWO7111,CHECK_TWO7112,CHECK_TWO7113,CHECK_TWO7114,CHECK_TWO7115,CHECK_TWO7116,CHECK_TWO7117,CHECK_7117_CHECK1,CHECK_7117_CHECK2,CHECK_7117_KIND2,CHECK_TWO721,CHECK_TWO722,CHECK_TWO723,CHECK_TWO741,CHECK_TWO742,CHECK_TWO75,CHECK_TWO85,CHECK_TWO86,CHECK_TWO95,CHECK_TWO96,CHECK_TWO103,CHECK_TWO104,CHECK_TWO114,CHECK_TWO121,CHECK_TWO122,CHECK_TWO131,CHECK_TWO132,CHECK_7171C1,CHECK_7171C2,CHECK_561_TO1_1,CHECK_561_TO2_1,NEW_NO
10,2018.0,9.0,21.0,기관손상,"2016 1/28, 2/3, 3/16","명진디젤, 삼양조선소, 미수동",V,V,X,V,V,V,V,V,V,V,V,-,V,V,V,X,X,X,V,X,V,V,V,V,V,V,V,V,V,V,V,V,X,V,V,V,,,V,V,V,V,V,V,V,V,팽창식구명뗏목,1.0,15/12/09,,,,수압이탈장치,1.0,18/12/01,,,,11.0,,,,4.0,,11.0,4.0,19/01/01,1.0,19/01/01,2.0,,,,,,,,X,V,,,,,4.0,,1.0,,,,,,,,,,V,V,V,V,X,V,V,V,V,X,X,X,X,X,V,,Y,,,X,X,X,V,X,X,X,X,V,Y,Y,V-PASS,V,X,V,X,X,X,V,V,X,X,X,X,V,R,V,V,V,y,,,,A00000000
11,2018.0,9.0,21.0,기관손상,2017.03.21,동호동,V,V,X,V,V,V,V,V,V,V,V,-,V,V,V,X,X,X,V,X,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,,,V,V,V,V,V,V,V,V,팽창식구명뗏목,1.0,17/03/20,,,,수압이탈장치,1.0,19/03/01,,,,11.0,,,,4.0,,11.0,4.0,17/12/01,1.0,17/12/01,2.0,,,,,,,,X,V,,,,,4.0,,1.0,,,,,,,,,,V,V,V,V,X,V,V,V,V,X,X,X,X,X,V,,Y,,,X,X,X,V,X,X,X,X,V,Y,Y,V-PASS,V,X,V,X,X,X,V,V,X,X,X,X,V,R,V,V,V,y,,17/12/01,17/12/01,A00000000
12,2018.0,11.0,26.0,충돌,"2016 1/28, 2/3, 3/16","명진디젤, 삼양조선소, 미수동",V,V,X,V,V,V,V,V,V,V,V,-,V,V,V,X,X,X,V,X,V,V,V,V,V,V,V,V,V,V,V,V,X,V,V,V,,,V,V,V,V,V,V,V,V,팽창식구명뗏목,1.0,15/12/09,,,,수압이탈장치,1.0,18/12/01,,,,11.0,,,,4.0,,11.0,4.0,19/01/01,1.0,19/01/01,2.0,,,,,,,,X,V,,,,,4.0,,1.0,,,,,,,,,,V,V,V,V,X,V,V,V,V,X,X,X,X,X,V,,Y,,,X,X,X,V,X,X,X,X,V,Y,Y,V-PASS,V,X,V,X,X,X,V,V,X,X,X,X,V,R,V,V,V,y,,,,A00000000
13,2018.0,11.0,26.0,충돌,2017.03.21,동호동,V,V,X,V,V,V,V,V,V,V,V,-,V,V,V,X,X,X,V,X,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,,,V,V,V,V,V,V,V,V,팽창식구명뗏목,1.0,17/03/20,,,,수압이탈장치,1.0,19/03/01,,,,11.0,,,,4.0,,11.0,4.0,17/12/01,1.0,17/12/01,2.0,,,,,,,,X,V,,,,,4.0,,1.0,,,,,,,,,,V,V,V,V,X,V,V,V,V,X,X,X,X,X,V,,Y,,,X,X,X,V,X,X,X,X,V,Y,Y,V-PASS,V,X,V,X,X,X,V,V,X,X,X,X,V,R,V,V,V,y,,17/12/01,17/12/01,A00000000
14,2019.0,8.0,4.0,안전사고,"2016 1/28, 2/3, 3/16","명진디젤, 삼양조선소, 미수동",V,V,X,V,V,V,V,V,V,V,V,-,V,V,V,X,X,X,V,X,V,V,V,V,V,V,V,V,V,V,V,V,X,V,V,V,,,V,V,V,V,V,V,V,V,팽창식구명뗏목,1.0,15/12/09,,,,수압이탈장치,1.0,18/12/01,,,,11.0,,,,4.0,,11.0,4.0,19/01/01,1.0,19/01/01,2.0,,,,,,,,X,V,,,,,4.0,,1.0,,,,,,,,,,V,V,V,V,X,V,V,V,V,X,X,X,X,X,V,,Y,,,X,X,X,V,X,X,X,X,V,Y,Y,V-PASS,V,X,V,X,X,X,V,V,X,X,X,X,V,R,V,V,V,y,,,,A00000000
15,2019.0,8.0,4.0,안전사고,2017.03.21,동호동,V,V,X,V,V,V,V,V,V,V,V,-,V,V,V,X,X,X,V,X,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,,,V,V,V,V,V,V,V,V,팽창식구명뗏목,1.0,17/03/20,,,,수압이탈장치,1.0,19/03/01,,,,11.0,,,,4.0,,11.0,4.0,17/12/01,1.0,17/12/01,2.0,,,,,,,,X,V,,,,,4.0,,1.0,,,,,,,,,,V,V,V,V,X,V,V,V,V,X,X,X,X,X,V,,Y,,,X,X,X,V,X,X,X,X,V,Y,Y,V-PASS,V,X,V,X,X,X,V,V,X,X,X,X,V,R,V,V,V,y,,17/12/01,17/12/01,A00000000
16,2019.0,8.0,4.0,안전사고,"선)2019.12.05
기)2019.12.04",통영 동호동,V,V,X,V,V,V,V,V,V,V,V,V,V,V,V,X,X,X,V,X,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,,,V,V,V,V,V,V,V,V,팽창식구명뗏목,1.0,18/12/14,,,,수압자동식(1회용),1.0,20/12/01,,,,11.0,,,,4.0,,11.0,4.0,20/11/01,1.0,20/11/01,2.0,,,,,,,,X,V,,,,,3.0,,2.0,,,,,,,,,,V,V,V,V,X,V,X,V,V,X,X,X,X,X,V,,Y,,,X,X,X,V,X,V,X,X,V,Y,Y,V-PASS,V,X,V,X,X,X,V,V,X,X,X,X,V,V,V,V,V,y,,01/01/01,01/01/01,A00000000
17,2020.0,4.0,30.0,기관손상,"선)2019.12.05
기)2019.12.04",통영 동호동,V,V,X,V,V,V,V,V,V,V,V,V,V,V,V,X,X,X,V,X,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,,,V,V,V,V,V,V,V,V,팽창식구명뗏목,1.0,18/12/14,,,,수압자동식(1회용),1.0,20/12/01,,,,11.0,,,,4.0,,11.0,4.0,20/11/01,1.0,20/11/01,2.0,,,,,,,,X,V,,,,,3.0,,2.0,,,,,,,,,,V,V,V,V,X,V,X,V,V,X,X,X,X,X,V,,Y,,,X,X,X,V,X,V,X,X,V,Y,Y,V-PASS,V,X,V,X,X,X,V,V,X,X,X,X,V,V,V,V,V,y,,01/01/01,01/01/01,A00000000
18,2007.0,9.0,12.0,기관손상,2009.5/15,구룡포항,V,V,X,V,V,V,V,V,V,X,V,V,V,V,X,X,V,V,X,V,V,V,V,V,V,V,V,V,V,X,X,V,V,V,V,V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A00000001
19,2019.0,5.0,13.0,기타,2015.11.13,구룡포항,V,V,X,R,V,V,V,V,V,X,V,V,V,V,V,X,X,X,V,X,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,,,V,V,V,V,V,X,V,V,팽창식,1.0,15/11/11,,,,,1.0,,,,,10.0,,,,,,10.0,4.0,13/05/01,2.0,13/05/01,2.0,,,,,,,,X,V,6.0,,,,2.0,,2.0,,,,,,,,,,V,V,V,V,X,V,X,V,V,X,X,X,X,X,V,,Y,,,X,X,X,V,X,X,X,X,V,,Y,V-PASS,V,X,V,X,X,X,V,V,X,X,X,X,V,V,V,V,V,,,16/05/01,16/05/01,A00000001
20,2019.0,5.0,13.0,기타,2015.11.13,포항,V,V,X,R,V,V,V,V,V,X,V,V,V,V,V,X,X,X,V,X,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,,,V,V,V,V,V,X,V,V,팽창식,1.0,15/11/11,,,,챔버식,1.0,,,,,10.0,,,,,,10.0,4.0,19/04/01,2.0,19/04/01,2.0,,,,,,,,X,V,6.0,,,,2.0,,2.0,,,,,,,,,,V,V,V,V,X,V,X,V,V,X,X,X,X,X,V,,Y,,,X,X,X,V,X,X,X,X,V,,Y,V-PASS,V,X,V,X,X,X,V,V,X,X,X,X,V,V,V,V,V,,,19/04/01,19/04/01,A00000001
21,2019.0,5.0,13.0,기타,"2017 3/21, 3/30",포항 구룡포항,V,V,X,V,V,V,V,V,V,X,V,V,V,V,V,X,X,X,V,X,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,,,V,V,V,V,V,X,V,V,팽창식,1.0,15/11/11,,,,챔버식,1.0,,,,,10.0,,,,,,10.0,4.0,19/04/01,2.0,19/04/01,2.0,,,,,,,,X,V,6.0,,,,2.0,,2.0,,,,,,,,,,V,V,V,V,X,V,X,V,V,X,X,X,X,X,V,,Y,,,X,X,X,V,X,V,X,X,V,Y,Y,V-PASS,V,X,V,X,X,X,V,V,X,X,X,X,V,V,V,V,V,,,19/04/01,19/04/01,A00000001
22,2019.0,5.0,13.0,기타,2019.04/05,포항 구룡포항,V,V,X,V,V,V,V,V,V,X,V,V,V,V,V,X,X,X,V,X,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,,,V,V,V,V,V,X,V,V,팽창식,1.0,18/05/11,,,,챔버식,1.0,20/05/01,,,,10.0,,,,4.0,,10.0,4.0,22/02/01,2.0,22/02/01,2.0,,,,,,,,X,V,6.0,,,,2.0,,2.0,,,,,,,,,,V,V,V,V,X,V,X,V,V,X,X,X,X,X,V,,Y,,,X,X,X,V,X,V,X,X,V,Y,Y,V-PASS,V,X,V,X,X,X,V,V,X,X,X,X,V,V,V,V,V,,,22/02/01,22/02/01,A00000001
23,2006.0,10.0,19.0,기관손상,4/7,항남동,V,V,V,V,V,V,V,V,V,X,V,V,V,V,X,X,X,V,X,X,V,V,V,V,V,V,V,V,V,X,X,V,V,V,V,V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A00000002
24,2015.0,10.0,31.0,부유물감김,"선체)2016.3/14, 3/15
기관)2016.3/14",통영 정량동,V,V,X,V,V,V,V,V,V,X,V,V,V,V,V,X,X,X,V,X,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,X,V,X,V,V,V,V,V,,,SG-SV-15A,1.0,16/03/15,,,,,,,,,,11.0,,,,4.0,,11.0,4.0,19/02/01,2.0,19/02/01,2.0,,,,,,,,X,V,,,,,3.0,,2.0,,,,,,,,,,V,V,V,V,X,V,X,V,V,X,X,X,X,X,V,,Y,,,X,X,X,V,X,X,X,X,V,Y,,,V,X,V,X,X,X,V,V,X,X,X,X,V,V,V,V,V,,,,,A00000002
25,2015.0,10.0,31.0,부유물감김,"선)2017.02.15
기)2017.02.15",통영 정량동,V,V,X,V,V,V,R,V,V,X,V,V,V,V,V,X,X,X,V,X,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,X,V,X,V,V,V,V,X,,,SG-SV-15A,1.0,16/03/15,,,,수압자동식(일회용),1.0,18/03/01,,,,11.0,,,,4.0,,11.0,4.0,19/02/01,2.0,19/02/01,2.0,,,,,,,,X,V,,,,,4.0,,2.0,,,,,,,,,,V,V,V,V,X,V,X,V,V,X,X,X,X,X,V,,Y,,N,X,X,X,V,X,V,X,X,V,Y,,,V,X,V,X,X,X,V,V,X,X,X,X,V,V,V,V,V,y,,,,A00000002
26,2015.0,10.0,31.0,부유물감김,"선)2019.04/05,09
기)2019.04/05.09,11","통영 동원조선소/정량동,항남동",V,V,X,V,V,V,V,V,V,X,V,V,V,V,V,X,X,X,V,X,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,X,V,X,V,V,V,V,X,,,SG-SV-15A,1.0,19/12/14,,,,수압자동식(일회용),1.0,19/12/31,,,,12.0,,,,4.0,,12.0,4.0,19/02/01,2.0,19/02/01,2.0,,,,,,,,X,V,,,,,4.0,,2.0,,,,,,,,,,V,V,V,V,X,V,X,V,V,X,X,X,X,X,V,,Y,,N,X,X,X,V,X,V,X,X,V,Y,Y,V-PASS,V,X,V,X,X,X,V,V,X,X,X,X,V,V,V,V,V,y,,,,A00000002
27,2017.0,4.0,29.0,충돌,"선체)2016.3/14, 3/15
기관)2016.3/14",통영 정량동,V,V,X,V,V,V,V,V,V,X,V,V,V,V,V,X,X,X,V,X,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,X,V,X,V,V,V,V,V,,,SG-SV-15A,1.0,16/03/15,,,,,,,,,,11.0,,,,4.0,,11.0,4.0,19/02/01,2.0,19/02/01,2.0,,,,,,,,X,V,,,,,3.0,,2.0,,,,,,,,,,V,V,V,V,X,V,X,V,V,X,X,X,X,X,V,,Y,,,X,X,X,V,X,X,X,X,V,Y,,,V,X,V,X,X,X,V,V,X,X,X,X,V,V,V,V,V,,,,,A00000002
28,2017.0,4.0,29.0,충돌,"선)2017.02.15
기)2017.02.15",통영 정량동,V,V,X,V,V,V,R,V,V,X,V,V,V,V,V,X,X,X,V,X,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,X,V,X,V,V,V,V,X,,,SG-SV-15A,1.0,16/03/15,,,,수압자동식(일회용),1.0,18/03/01,,,,11.0,,,,4.0,,11.0,4.0,19/02/01,2.0,19/02/01,2.0,,,,,,,,X,V,,,,,4.0,,2.0,,,,,,,,,,V,V,V,V,X,V,X,V,V,X,X,X,X,X,V,,Y,,N,X,X,X,V,X,V,X,X,V,Y,,,V,X,V,X,X,X,V,V,X,X,X,X,V,V,V,V,V,y,,,,A00000002
29,2017.0,4.0,29.0,충돌,"선)2019.04/05,09
기)2019.04/05.09,11","통영 동원조선소/정량동,항남동",V,V,X,V,V,V,V,V,V,X,V,V,V,V,V,X,X,X,V,X,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,X,V,X,V,V,V,V,X,,,SG-SV-15A,1.0,19/12/14,,,,수압자동식(일회용),1.0,19/12/31,,,,12.0,,,,4.0,,12.0,4.0,19/02/01,2.0,19/02/01,2.0,,,,,,,,X,V,,,,,4.0,,2.0,,,,,,,,,,V,V,V,V,X,V,X,V,V,X,X,X,X,X,V,,Y,,N,X,X,X,V,X,V,X,X,V,Y,Y,V-PASS,V,X,V,X,X,X,V,V,X,X,X,X,V,V,V,V,V,y,,,,A00000002
